W,sigma_GLC,sigma_BG
309.7,351.953,282.919
283.452,334.986,270.848
259.429,318.52,259.051
237.441,302.561,247.533
217.318,287.115,236.304
198.899,272.185,225.368
182.042,257.774,214.732
166.614,243.88,204.4
152.493,230.504,194.374
139.568,217.641,184.657
127.74,205.288,175.251
116.913,193.438,166.156
107.005,182.086,157.371
97.9357,171.222,148.896
89.6354,160.837,140.726
82.0386,150.92,132.861
75.0856,141.459,125.294
68.7219,132.443,118.022
62.8975,123.857,111.038
57.5668,115.687,104.336
52.6878,107.919,97.908
48.2224,100.537,91.7473
44.1354,93.5245,85.8448
40.3948,86.8661,80.1914
36.9713,80.5448,74.7775
33.8378,74.5439,69.5931
30.97,68.8467,64.6279
28.3452,63.4365,59.8713
25.9429,58.2966,55.3127
23.7441,53.4109,50.9413
21.7318,48.7638,46.7467
19.8899,44.3406,42.7191
18.2042,40.1274,38.8492
16.6614,36.1119,35.1287
15.2493,32.2835,31.5512
13.9568,28.6339,28.1117
12.774,25.1577,24.8084
11.6913,21.8526,21.6422
10.7005,18.7207,18.6183
9.79357,15.7688,15.7464
